q,MaturityLevel,launchIndex,investIndex,weight,function,question,responseA,responseB,responseC,responseD,helptext,strength,recommendation
1,1,y,,1.1,Customer Insights,How well do you understand the customer problem(s) that your startup is addressing?,"No, or Don't know",Our understanding of customer problems is largely based on assumptions or hearsay,We have conducted limited field research on customer problems,We have conducted many one-one interactions with potential customers/users to fully understand their problems,Founders must begin their journey with the most fundamental question: what problem am I solving? Examples: Uber addresses the frustration of not finding cabs quickly. Urban Company solves the pain involved in finding reliable home repair personnel.,"The founding team has spent time studying, prioritizing, and analyzing customers' problems, and their root causes, before jumping into a solution mode. Often, founders have personally experienced the very problems that they are trying to solve for a larger customer base","The founding team needs to engage with more potential customers to ensure that they don't fall into the trap of a ""solution looking for a problem"".  You need to have insights into who your customers are, as well as what they're trying to accomplish and the problems they face along the way."
2,1,y,,1.2,Product/Service,How deep is the founding team's experience in technology needed to develop the product/service?,"No, or Don't know","Our founding team does not have the core technical skills, and we are not sure of how to address this gap",We have identified partners or team members who will develop the technology solution for our startup,We have the requisite technology skills within the founding team,Many investors consider a balanced team behind a startup more important than the idea or the product.,"Founders have relevant skills in technologies (e.g., AI, block-chain, and biotech) needed for developing their product or service.","The founding team needs to augment its capabilities in the industry/technology of the startup. These can accrue from the education, job, and/or prior entrepreneurship experience of the existing team, or maybe supplemented by new co-founders, new hires, consultants, and partners. Investors consider the team behind a startup more important than the idea or the product, hence will want to know if the team has the right set of skills, drive, experience, and temperament to grow the business. "
3,1,y,,1.2,Team,Does the founding team have adequate background or experience in business management?,"No, or Don't know","Our founding team does not have the core business skills, and we are not sure of how to address this gap",We have identified partners or team members who will handle business/sales/marketing functions for our startup,We have the requisite business management skills within the founding team," A balanced founding team, with the skills and vision to succeed, is essential to launch and scale the venture.","Founders have the management skills like strategy, business planning, and marketing to help launch and scale their venture","Founders need to strengthen their management skills in areas such as strategy, business planning, and marketing. These could accrue from education, job, and/or prior entrepreneurship experience of the existing team, or maybe supplemented by new co-founders, team members, mentors, and partners. Investors will want to know that the team has the right set of skills, drive, experience, and temperament to grow the business."
4,2,y,,1,Customer Insights,Do you have a clear understanding of your target customer/user segments?,"No, or Don't know",We have not narrowed down our target market yet,"We have identified some target segments, but are not sure which ones will actually pay us",We have clearly identified the customer segments to focus on. These segments may include paying customers as well as free users.,"Once you have identified a problem, you should focus on defining the potential target customers as precisely as possible. Examples: working professionals, 25-35 age, urban residents, aspiring to buy their first home. Small and local retailers in urban areas, not very tech-savvy",Founders have identified clear market segments to focus on. These segments may include paying customers as well as free users of their product/service.,"You need to define target customers as precisely as possible. The startup needs to identify and classify customer segments based on their commercial relationship with the venture, e.g. free users, paying customers, retail vs enterprise customers. One common mistake that entrepreneurs make is to target their solution at 'everyone' in the belief that the target group should be as big as possible."
5,2,y,y,1.2,Team,Does your Startup have adequate number of credible and experienced mentors?,"No, or Don't know","We have identified our need for mentors, but have not on-boarded any yet","We have some mentors who are associated with us, but we need to on-board more",We have adequate mentors covering various areas like strategy and technology,"Most startups have one or more mentors to guide them in business strategy, technology, customer access, etc.","The founding team has analyzed their needs for business and/or technical experts, and engaged with relevant mentors. For each mentor, a relevant business model (e.g. Pro bono, equity, fees) has been negotiated","You need to determine areas in which your startup needs guidance, and seek appropriate mentors from the ecosystem. Experienced mentors/advisors can be invaluable in guiding the startup in business, strategy, technology, networking, etc. Founders need to identify such people based on their alignment with the startup's mission and plans. "
6,2,y,y,1,Customer Acquisition,How large is the opportunity or market size for your product/service?,"No, or Don't know",We only have an intuitive idea of revenue potential/market size for our startup,We have done some initial research on the total and obtainable market size; need to dig deeper,"We have analyzed industry trends to determine the overall market opportunity, as well as a realistic estimate of the market size that can be captured in the near term",Is the market opportunity large and attractive to the founders and investors?,"Founders have analyzed industry trends to determine the overall market opportunity, as well as a realistic estimate of the market size that can be captured in the near term","Most investors are looking for businesses that can scale and become meaningful, so your startup needs to quantify the opportunity in terms of customers and possible revenues.  This is done with top-down calculations based on secondary research as well as bottom-up calculations based on business plans. Founders must find answers to questions such as: how big the market is today, how fast it's growing, and why it's going to be big in ten years. One common mistake that entrepreneurs make is to assume no competitors and limitations as they define their opportunity size"
7,2,y,y,1.1,Customer Acquisition,Have you analyzed your local and global competitors?,"No, or Don't know",We have not studied the market in detail to uncover competing solutions,We are aware of some competitors out there; need to study the national/global landscape more,"We have a deep understanding of who our national and global competitors are. For each, an analysis of their strengths and weaknesses has been conducted",What other solutions are your customers using? What frustrates a competitor's customers about their product?,"The startup has identified its current and potential competitors. For each, an analysis of their strengths and areas of improvement is conducted to firmly understand the startup's competitive advantage","The founding team needs to identify its current and potential competitors globally. For each, please analyze their strengths and weaknesses. Avoid falling into the trap of ""We have no competitors"" - as the customer always has alternatives, including not buying at all.  Your mentors can also help in ensuring that your comparison with competitors is complete and honest."
8,3,y,y,1.2,Finance,Have you identified revenue models that work best for your startup?,"No, or Don't know",We are yet to short-list revenue models that are relevant for our business,"We have identified some revenue models that may work for us, but we need to test/validate them still","We have analyzed, tested and chosen revenue models that work for our startup","How does the startup make or intend to make money? How much can it make? Revenue model examples: Subscription (Netflix, Spotify, Freemium (YouTube), Advertising (Google), Product sale (LG TV)","Various revenue models (e.g., subscription, pay-per-use, advertising, freemium) are evaluated, and the most relevant ones are chosen for the startup","You need to have greater clarity on how your startup makes money. A revenue model is important for the company's long-term business vitality as it gives an overview of the company's current and future potential to earn profits. You need to identify and validate revenue models (e.g., subscription, licensing, direct sale, usage-based, transaction fee, franchising, advertisements, freemium, rentals) and pricing strategy (e.g., special offers, volume discount, premium, list price, volume-based, real-time)."
9,3,y,y,1.1,Customer Acquisition,Do you have a solid understanding of the channels you will use for generating sales leads?,"No, or Don't know","Besides some obvious channels like social media, we have not done much work on this","We have identified some sales channels, but they are largely un-tested",We have identified and validated outreach channels for each of our target customer segment,"How do you reach your customers so you can target them with your solution? Examples: Newspapers, LinkedIn, Instagram, paid google ads, conferences",The startup has identified and validated applicable sales and distribution channels for each of its customer segments.,"The startup needs to identify sales and distribution channels for each of its customer segments. These channels then need to be optimized for spreading awareness about their product/service and for generating sales leads. Examples: organic search traffic, paid online advertising, unpaid PR, content marketing, affiliates, webinars, conferences, direct sales, newspapers, radio"
10,4,y,y,1,Product/Service,How unique and effective is your product/service in addressing customer problems?,"No, or Don't know",Our product/service is not developed yet,"We have developed a prototype of our product/service, but have not done much testing with some customers",We have tested our product/service prototype with many customers who have given us valuable feedback,How robust is the product/service used to solve the problem? Is it unique or difficult to replicate? Has it been validated by customers?,The startup has prioritized the needs of its customers and has developed a version of its solution that will solve customers' critical problems and compel them to pay for the same,"You need to prioritize the customer problems that you will solve, and have that guide the development of a compelling product or service. A prototype of your solution needs to be validated by end-users / customers."
11,4,y,y,1.2,Finance,Have you prepared your startup's financial plans and projections for the next 12 months?,"No, or Don't know","Besides addressing the immediate needs of funds, we have not done much forward financial planning","We have a tentative idea of the revenues that the startup will generate, and the costs that we will incur","We have prepared  projections of our startup's finances (e.g., costs, revenues, pricing, funding) for the next few years.","Examples: balance sheet, income statement (profit & loss account), cash flow statement, and break-even analysis","You have a solid understanding of your startup's financial health (e.g., costs, revenues, pricing, and debt) for the next few years.","You need to prepare clear projections of your startup's financial health (e.g., costs, revenues, pricing, and debt) for the next few years. Besides business planning, financial statements are needed for tax, financing, or investing purposes. Key financial statements include Balance sheet, Income statement, and Cash flow statement. Venture capitalists look for founders who truly understand the financials and key metrics of their business."
